---++ data10_7TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
---++ data15_hi
| *expression* | *size [TB]* | *disk* | *responsible* |
| data15_hi.*.physics_UPC.merge.AOD.x377_m1533 | 1.85 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.data15_hi.*.physics_MinBias.daq.RAW_der* | 0.00925 | PRAGUELCG2_PHYS-HI |  |
| group.phys-hi.data15_hi.*.physics_HardProbes.daq.RAW_der* | 0.439 | PRAGUELCG2_PHYS-HI |  |
| group.phys-hi.data15_hi.*.physics_MinBiasOverlay.daq.RAW_der1449533077 | 0.0197 | PRAGUELCG2_PHYS-HI |  |
| data15_hi.*.physics_MinBias.daq.RAW | 2.08 | WEIZMANN-LCG2_PHYS-HI |  |
| group.phys-hi.data15_hi.00286665.physics_MinBias.recon.ESD.f655_der1449233155 | 0.0314 | WEIZMANN-LCG2_PHYS-HI |  |

---++ mc10_2TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| mc10_2TeV.*.J*_pythia_jetjet.merge.NTUP_HI.e*_s*_s1161_d*_r*_r3058_p838_tid*_00 | 2.43 | BNL-OSG2_PHYS-HI |  |
| user.olszewsk.mc10_2TeV.108316.Pythia8_minbias_ND.recon.ESD.e747_s1175_s1176_r2203_tid294761_00_der1404683102 | 0.116 | BNL-OSG2_PHYS-HI |  |
| user.DeDe.mc10_2TeV.119114.Hijing_PbPb_2p75TeV_MinBias_Flow_JJFV6.Boff_normal_geo_part* | 0.178 | CYFRONET-LCG2_PHYS-HI |  |
| user.DeDe.mc10_2TeV.119114.Hijing_PbPb_2p75TeV_MinBias_Flow_JJFV6.Boff_extra_material_part* | 0.202 | CYFRONET-LCG2_PHYS-HI |  |
| mc10_2TeV.*.J*_pythia_jetjet.merge.NTUP_HI.e*_s*_s1161_d*_r*_p764_tid*_00 | 4.32 | PRAGUELCG2_PHYS-HI |  |
| mc10_2TeV.*.J*_pythia_jetjet.merge.NTUP_HI.e*_s*_s1161_d*_r*_r3058_p838_tid*_00 | 2.43 | PRAGUELCG2_PHYS-HI |  |
| user.pbalek.mc10_2TeV.*.pythia_sdiff.merge.AOD.e747.versionC.130717141210_der1374079508 | 0.0242 | PRAGUELCG2_PHYS-HI |  |
| user.pbalek.mc10_2TeV.*.pythia_ddiff.merge.AOD.e747.versionC.130717141457_der* | 0.0275 | PRAGUELCG2_PHYS-HI |  |
| user.pbalek.mc10_2TeV.*.pythia_minbias.merge.AOD.e747.versionC.*_der1369741502 | 0.484 | PRAGUELCG2_PHYS-HI |  |
| user.pbalek.mc10_2TeV.*.J*_pythia_jetjet.merge.AOD.e747.versionC.*_der* | 0.254 | PRAGUELCG2_PHYS-HI |  |
| user.pbalek.mc10_2TeV.*.J*_pythia_jetjet.merge.AOD.e747.versionC.*_rev*_der1369899901 | 0.027 | PRAGUELCG2_PHYS-HI |  |

---++ mc10_7TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| mc10_7TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJ.digit.RDO.e727_s*_s*_d*_tid*_00 | 0.087 | BNL-OSG2_PHYS-HI |  |
| mc10_7TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJ.recon.NTUP_HI.e511_s1083_s1084_d443_r1927_tid*_00 | 0.175 | BNL-OSG2_PHYS-HI |  |
| user.AaronAngerami.mc10_7TeV.*.J4_pythia_jetjet.merge.HITS.e574_s964_s946_tid203770_00_der1299532203 | 0.00869 | BNL-OSG2_PHYS-HI |  |
| user.AaronAngerami.mc10_7TeV.208802.Hijing_PbPb_2p75TeV_MinBias_Flow_JJ.merge.HITS.e727_s1163_s1162_tid280566_00_der1300727402 | 0.00646 | BNL-OSG2_PHYS-HI |  |
| mc10_7TeV.*.Starlight_ggmm_2p76TeV.evgen.EVNT.e741_tid283962_00 | 7.46e-06 | CERN-PROD_PHYS-HI |  |
| mc10_7TeV.*.Starlight_jpsi_2p76TeV.evgen.EVNT.e741_tid283963_00 | 7.46e-06 | CERN-PROD_PHYS-HI |  |
| mc10_7TeV.*.Hijing_PbPb_2p75TeV_MinBias.merge.HITS.e511_s*_s*_tid*_00 | 0.072 | CERN-PROD_PHYS-HI |  |
| mc10_7TeV.*.Starlight_ggmm_2p76TeV.digit.RDO.e741_s1178_s1161_d494_tid287716_00 | 0.0506 | CERN-PROD_PHYS-HI |  |
| mc10_7TeV.*.Starlight_jpsi_2p76TeV.digit.RDO.e741_s1178_s1161_d494_tid287717_00 | 0.0506 | CERN-PROD_PHYS-HI |  |
| mc10_7TeV.*.Hijing_PbPb_2p75TeV_MinBias.digit.RDO.e511_s*_s*_d*_tid*_00 | 0.0981 | CERN-PROD_PHYS-HI |  |
| mc10_7TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJV2.recon.NTUP_HI.e844_a129_a130_tid534667_00 | 0.1 | CERN-PROD_PHYS-HI |  |
| mc10_7TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJ.digit.RDO.e727_s1163_s1162_d490_tid280567_00 | 0.0826 | CERN-PROD_PHYS-HI |  |
| mc10_7TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJ.recon.NTUP_HI.e511_s1083_s1084_d443_r1927_tid*_00 | 0.175 | CERN-PROD_PHYS-HI |  |
| mc10_7TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJV2.recon.NTUP_HI.e844_s*_s*_d*_r*_tid*_00 | 0.301 | CERN-PROD_PHYS-HI |  |
| mc10_7TeV.*.CavernInput.merge.HITS.e4_e730_s951_s952_tid279843_00 | 0.00574 | CYFRONET-LCG2_PHYS-HI |  |
| mc10_7TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJ.recon.NTUP_HI.e511_s1083_s1084_d443_r1927_tid*_00 | 0.175 | CYFRONET-LCG2_PHYS-HI |  |
| group10.phys-hi.mc10_7TeV.*.Hijing_PbPb_2p75TeV_MinBias_tid172522_00_r16.0.1.2p3_nominalbscons_r1.101010104243 | 0.0497 | CYFRONET-LCG2_PHYS-HI |  |
| group10.phys-hi.mc10_7TeV.208802.Hijing_PbPb_2p75TeV_MinBias_Flow_JJ_tid172523_00_r16.0.1.2p3_nominalbscons_r1.101010105512 | 0.0432 | CYFRONET-LCG2_PHYS-HI |  |
| mc10_7TeV.208801.Hijing_PbPb_2p75TeV_MinBias.merge.HITS.e511_s*_s*_tid*_00 | 0.137 | WEIZMANN-LCG2_PHYS-HI |  |

---++ mc10_valid
| *expression* | *size [TB]* | *disk* | *responsible* |
| mc10_valid.108802.Hijing_PbPb_5p5TeV_MinBias_Flow_JJ.evgen.EVNT.e584_tid160295_00 | 0.00672 | CERN-PROD_PHYS-HI |  |

---++ mc11_2TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| mc11_2TeV.*.J*_pythia_jetjet.merge.NTUP_HI.e*_d724_r3635_p*_tid*_00 | 6.98 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZeeJet_Ptcut.merge.NTUP_HI.e1365_d724_r3635_p*_tid*_00 | 0.383 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWenu_no_filter.merge.NTUP_HI.e1365_d724_r3635_p*_tid*_00 | 0.0731 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumuJet_Ptcut.merge.NTUP_HI.e1365_d724_r3635_p*_tid*_00 | 0.358 | BNL-OSG2_PHYS-HI |  |
