---++ data10_7TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| mc12_8TeV.*.Pythia8_AU2CT10_jetjet_JZ*W.merge.NTUP_JETMETWZ.e1126_s1469_s1470_r3658_p1666_tid*_00 | 0.677 | BNL-OSG2_PHYS-HI |  |
| mc12_8TeV.*.Sherpa_CT10_mumugammaPt8.merge.log.e1530_a159_a171_r3549_p1067_tid01051983_00 | 0.00197 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.Sherpa_CT10_Wmunu.merge.log.e*_s*_s*_r*_r3549_p*_tid*_00 | 0.0285 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.Sherpa_CT10_Wenu.merge.NTUP_HSG2.e1434_s1499_s1504_r3658_r3549_p1344_tid01133851_00 | 0.221 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.Sherpa_CT10_mumugammaPt8.merge.NTUP_SMWZ.e1530_a159_a171_r3549_p1328_tid01110550_00 | 0.355 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.Sherpa_CT10_Wmunu.merge.NTUP_HSG2.e1434_s1499_s1504_r3658_r3549_p1344_tid01133853_00 | 0.174 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenPythia_Auto_P2011C_WenuNp0.merge.log.e1855_a188_a171_r3549_p1328_tid01254624_00 | 0.0873 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_Zee.merge.log.e1169_s1469_s1470_r3542_r3549_p1344_tid01133864_00 | 0.0174 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.Pythia8_AU2CTEQ6L1_Ztautau.merge.log.e1176_s1479_s1470_r3553_r3549_p1230_tid01010093_00 | 7.17e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia_P2011C_ttbar_dilepton.merge.log.e2091_a188_a205_r4540_p1344_tid01383023_00 | 0.00427 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.Sherpa_CT10_TtbarTauleptHad.merge.log.e1434_s1499_s1504_r3658_r3549_p1328_tid01109373_00 | 0.00328 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_Zmumu.merge.log.e1169_s1469_s1470_r3752_r3549_p1344_tid01133875_00 | 0.00684 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.Pythia8_AU2CT10_jetjet_JZ*W.merge.log.e1126_s1469_s1470_r3542_r3549_p1328_tid01141732_00 | 0.00526 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_Wminenu.merge.log.e1169_s1469_s1470_r3573_r3549_p1328_tid01109199_00 | 0.00362 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.Sherpa_CT10_Wgstaree_lt7.merge.NTUP_TAU.e1949_s1581_s1586_r3658_r3549_p1344_tid01359727_00 | 0.527 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenPythia_P2011C_ZtautauNp1.merge.log.e1477_s1499_s1504_r3658_r3549_p1328_tid01111189_00 | 0.00389 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenJimmy_AUET2CTEQ6L1_WccNp2.merge.log.e1601_s1499_s1504_r3658_r3549_p1344_tid01133694_00 | 0.000889 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_Zee.merge.NTUP_HSG2.e1169_s1469_s1470_r3542_r3549_p1344_tid01133864_00 | 0.0157 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_VBFH*_WWlepnuqq.merge.log.e1812_a188_a171_r3549_p1328_tid01384721_00 | 0.00417 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia_P2011C_ttbar_dilepton.merge.NTUP_TAU.e2091_a188_a205_r4540_p1344_tid*_00 | 2.07 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenJimmy_AUET2CTEQ6L1_WenuNp0.merge.log.e1218_s1469_s1470_r3542_r3549_p1328_tid01110970_00 | 0.00091 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenJimmy_AUET2CTEQ6L1_WmunuNp1.merge.log.e1218_s1469_s1470_r3542_r3549_p1328_tid01110978_00 | 0.00449 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenPythia_Auto_P2011C_WmunuNp3.merge.log.e1880_s1581_s1586_r3658_r3549_p1547_tid01281238_00 | 3.88e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.Pythia8_AU2CT10_jetjet_JZ*W.merge.NTUP_SMWZ.e1126_s1469_s1470_r3542_r3549_p1328_tid01141732_00 | 0.628 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia_AUET2BCT10_ttbar_LeptonFilter.merge.log.e1317_a159_a165_r3549_p1328_tid01110884_00 | 0.00455 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_VBFH*_WW2lep_EF_15_5.merge.log.e1285_a159_a165_r3549_p1328_tid*_00 | 0.00181 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenAutoPythia_P2012_ttbar_jjlnNp1.merge.log.e2356_s1581_s1586_r3925_r4540_p1344_tid01374779_00 | 0.00241 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AcerMCPythia_AUET2BCTEQ6L1_singletop_tchan_mu.merge.log.e1346_a159_a171_r3549_p1328_tid01110843_00 | 0.00329 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.Pythia8_AU2CTEQ6L1_ppToJpsie3e8.merge.NTUP_HSG2.e1236_s1469_s1470_r3754_r3549_p1344_tid01133760_00 | 0.0529 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_VBFH*_WWlepnuqq.merge.NTUP_SMWZ.e1812_a188_a171_r3549_p1328_tid01384720_00 | 0.455 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowHegPythia8_AU2CT10_ggH140_tautaulh.merge.log.e1217_s1469_s1470_r3542_r3549_p1547_tid01385295_00 | 5.09e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_ggH600NWA_ZZnunuqq.merge.NTUP_SMWZ.e2438_a220_a205_r4540_p1328_tid01373371_00 | 0.00937 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.McAtNloJimmy_AUET2CT10_a07p*_mumu_2muEF.merge.log.e2382_s1581_s1586_r4485_r4540_p1328_tid01374307_00 | 8.91e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_VBFH*CPS_ZZnunuqq.merge.NTUP_SMWZ.e2438_a220_a205_r4540_p1328_tid01373383_00 | 0.00692 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_VBFH560NWA_ZZnunuqq.merge.NTUP_SMWZ.e2438_a220_a205_r4540_p1328_tid01373407_00 | 0.00345 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia_AUET2BCT10_ttbar_LeptonFilter.merge.NTUP_SMWZ.e1317_a159_a165_r3549_p1328_tid*_00 | 0.993 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.McAtNloJimmy_AUET2CT10_SingleTopWtChanIncl.merge.NTUP_SMWZ.e*_a159_a171_r3549_p1328_tid01110860_00 | 0.378 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenJimmy_Auto_AUET2CTEQ6L1_VBF_ZeeNp*.merge.log.e*_s1499_s1504_r3658_r3549_p1328_tid*_00 | 0.0152 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_ZZ_2e2tau_mll4_2pt5.merge.log.e1280_s1469_s1470_r3542_r3549_p1328_tid01109085_00 | 0.000803 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenAutoPythia_P2012_ttbar_jjlnNp1.merge.NTUP_TAU.e2356_s1581_s1586_r3925_r4540_p1344_tid01374779_00 | 0.394 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.McAtNloJimmy_AUET2CT10_SingleTopWtChanIncl.merge.log.e1242_s1469_s1470_r3542_r3549_p1328_tid01110871_00 | 0.00185 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AcerMCPythia_AUET2BCTEQ6L1_singletop_tchan_e.merge.NTUP_SMWZ.e1346_a159_a171_r3549_p1328_tid01110841_00 | 0.284 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp5.merge.NTUP_SMWZ.e1422_s1499_s1504_r3658_r3549_p1328_tid01109266_00 | 0.0617 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.McAtNloJimmy_AUET2CT10_a07p3_mumu_2muEF.merge.NTUP_SMWZ.e2382_s1581_s1586_r4485_r4540_p1328_tid01374304_00 | 0.00597 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenJimmy_Auto_AUET2CTEQ6L1_VBF_ZeeNp2.merge.NTUP_HSG2.e1600_s1499_s1504_r3658_r3549_p1319_tid01086926_00 | 0.0409 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_ZZ_2e2tau_mll4_2pt5.merge.NTUP_SMWZ.e1280_s1469_s1470_r3542_r3549_p1328_tid01109085_00 | 0.0472 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.McAtNloJimmy_AUET2CT10_SingleTopWtChanIncl.merge.NTUP_SMWZ.e1242_s1469_s1470_r3542_r3549_p1328_tid01110871_00 | 0.194 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenJimmy_Auto_AUET2CTEQ6L1_Dil_10_6_ZtautauNp*.merge.log.e1551_s1499_s1504_r3658_r3549_p1328_tid01109353_00 | 0.000518 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.PowhegPythia8_AU2CT10_DYmumu_100M160_DiLeptonFilter.merge.NTUP_SMWZ.e2274_a188_a205_r4540_p1328_tid01355306_00 | 0.345 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenJimmy_AUET2CTEQ6L1_ttbarlnqqNp1_baseline.merge.NTUP_SMWZ.e1527_s1499_s1504_r3658_r3549_p1067_tid01009526_00 | 0.553 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenJimmy_Auto_AUET2CTEQ6L1_Dil_10_6_ZtautauNp0.merge.NTUP_SMWZ.e1551_s1499_s1504_r3658_r3549_p1328_tid01109298_00 | 0.373 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenJimmy_Auto_AUET2CTEQ6L1_VBF_ATau_ZtautauNp0.merge.NTUP_SMWZ.e1600_s1499_s1504_r3658_r3549_p1328_tid01173098_00 | 0.238 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.AlpgenJimmy_Auto_AUET2CTEQ6L1_Filtered_ZeeNp2Excl_Mll10to60.merge.NTUP_SMWZ.e1304_s1469_s1470_r3542_r3549_p1067_tid00866132_00 | 0.00638 | CYFRONET-LCG2_PHYS-HI |  |
| user.olszewsk.mc12_8TeV.119995.Pythia8_A2MSTW2008LO_minbias_inelastic_low.merge.HITS.e1119_s1469_s1471_tid743321_00_der1427557502 | 0.0726 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_8TeV.*.Pythia8_AU2CT10_jetjet_JZ*W.merge.NTUP_JETMETWZ.e1126_s1469_s1470_r3658_p1666_tid*_00 | 0.677 | PRAGUELCG2_PHYS-HI |  |

---++ mc14_5TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| user.olszewsk.mc14_5TeV.209037.Hijing_PbPb_5p02TeV_MinBias_Flow_JJFV6_notruth_r20.1.4.1v2_r3_EXT1.23354876 | 0.00045 | CERN-PROD_PHYS-HI |  |
| mc14_5TeV.209037.Hijing_PbPb_5p02TeV_MinBias_Flow_JJFV6.merge.HITS.e3570_s2155_s2008_tid05172249_00 | 0.217 | PRAGUELCG2_PHYS-HI |  |

---++ mc15
| *expression* | *size [TB]* | *disk* | *responsible* |
| group.phys-hi.mc15.*.Hijing_PbPb_5p02TeV_MinBias_Flow_JJFV6_e19.2.3.8_r2_EXT0.25407208 | 0.000379 | CERN-PROD_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_*TeV_e19.2.3.8_r*.log.* | 0.000131 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_*TeV_e19.2.3.8_r*_EXT0.* | 0.108 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_*p*TeV_e19.2.3.8_r*.log.* | 0.000261 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_*p*TeV_e19.2.3.8_r*_EXT0.* | 0.176 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.Pythia8EvtGen_A14NNPDF23LO_perf_JF17_r20.1.5.6.*TrigMC_in2p3r1.log.34424559 | 7.11e-06 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.Pythia8EvtGen_A14NNPDF23LO_perf_JF17_r20.1.5.6.*TrigMC_in2p3r1_EXT*.* | 0.0182 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_*TeV_truth0daod_r20.1.5.7_r*.log.* | 1.86e-05 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_*TeV_truthdaod_r20.1.4.1_r5_EXT0.38938034 | 0.0015 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_*TeV_truth0daod_r20.1.5.7_r*_EXT0.* | 0.105 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.ParticleGun_single_photon_egammaET_r20.1.5.6.*TrigMC_in2p3r1.log.34422442 | 7.1e-06 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.ParticleGun_single_photon_egammaET_r20.1.5.6.*TrigMC_in2p3r1_EXT*.* | 0.0191 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_*p*TeV_truthdaod_r20.1.4.1_r5_EXT0.* | 0.00277 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_*p*TeV_truth0daod_r20.1.5.7_r*.log.* | 1.93e-05 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.ParticleGun_single_electron_egammaET_r20.1.5.6.*TrigMC_in2p3r1.log.34422397 | 7.11e-06 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_*p*TeV__truth0daod_r20.1.5.7_r3.log.* | 1.8e-05 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_*p*TeV_truth0daod_r20.1.5.7_r*_EXT0.* | 0.101 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Hijing_PbPb_5p02TeV_MinBias_Flow_JJFV6_r20.1.*.*.*TrigMC_r5fzk_EXT*.* | 0.0184 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.ParticleGun_single_electron_egammaET_r20.1.5.6.*TrigMC_in2p3r1_EXT*.* | 0.0189 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.*.Herwigpp_UEEE5_CTEQ6L1_MinBias_2p76TeV__truth0daod_r20.1.5.7_r3_EXT0.* | 0.0697 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.420000.Hijing_PbPb_5p02TeV_MinBias_Flow_JJFV6_r20.1.8.1.1TrigMC_notrig_r2fzk.log.45593797 | 0.000546 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15.420000.Hijing_PbPb_5p02TeV_MinBias_Flow_JJFV6_r20.1.8.1.1TrigMC_notrig_r2fzk_EXT*.* | 0.731 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15_5TeV.*.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ*R04_r20.1.8.1.1TrigMC_notrig_r1.log.* | 7.52e-05 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.mc15_5TeV.*.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ*R04_r20.1.8.1.1TrigMC_notrig_r1_EXT*.* | 0.098 | CYFRONET-LCG2_PHYS-HI |  |
| user.olszewsk.mc15.Pythia8EvtGen_A14NNPDF23LO_perf_JF17_s19.2.4.1_r5_EXT0.32777575 | 0.00659 | CYFRONET-LCG2_PHYS-HI |  |
| user.olszewsk.mc15.*.ParticleGun_single_photon_egammaET_s19.2.4.1_r5_EXT0.32777725 | 0.000118 | CYFRONET-LCG2_PHYS-HI |  |
| user.olszewsk.mc15.423000.ParticleGun_single_electron_egammaET_s19.2.4.1_r5_EXT0.32777638 | 0.000174 | CYFRONET-LCG2_PHYS-HI |  |
| mc15.420000.Hijing_PbPb_5p02TeV_MinBias_Flow_JJFV6.simul.HITS.e3754_s2633_tid05403386_00 | 0.584 | PRAGUELCG2_PHYS-HI |  |
| group.phys-hi.mc15_5TeV.*.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ*R04_HIJetRec12_r*_EXT1.* | 8.47 | WEIZMANN-LCG2_PHYS-HI |  |

